url,label,prediction
https://www.joelfrancis.com/2009/11/18/morris-day/,1,1
https://www.pipl.com/directory/name/Reas/Steve,1,1
https://www.en.wikipedia.org/wiki/File:Map_of_North_Dakota_highlighting_LaMoure_County.svg,1,1
http://counselspirit.com/xdhl%20international%20gmbh_globalservice_pointlocator/dh,-1,1
https://www.sf.blockshopper.com/property/027-215-02/39_renz,1,1
http://dcu-federal.com/lander/wsecu,-1,1
http://139.59.87.100/online/atb/dca9989be436476404f9240d0f6aa145/confirm.html,-1,1
http://cloudswoodsriver.cloudaccess.host/dashboard/overviewaccounts/overview/home/myaccount,-1,1
http://47.74.94.39/banks/manulife,-1,-1
http://curly-dust-3f71.aacjmryahe7968.workers.dev/f60c71ac-c5cf-4b6c-a21a-f04d33f62712,-1,-1
https://www.indianhillsreliefsociety.blogspot.com/2011/05/david-bednar-small-simple-things.html,1,-1
http://365sharedspace.com/Chase/home/myaccount/billing.php?websrc=e17ea285ad581008aac6b89b49ab879e&dispatched=54&id=6520847046,-1,-1
http://drippyvapes.com/owa/login.php?l=_jehfuq_vjoxk0qwhtogydw1774256418&fid.13inboxlight.aspxn.1774256418&fid.125289964252813inboxlight99642_product-email=a@a.c&email=a@a.c,-1,1
https://www.kansascity.wikia.com/wiki/Power_and_Light_Building,1,1
https://www.habslegends.blogspot.com/2006/06/phantom-joe-malone.html,1,1
https://www.en.wikipedia.org/wiki/Wang_Yung-tsai,1,1
http://1505270148.nzingaadvisors.co.za/ipfs/bafybeihhfqmqfzqrrctrrqgpdcnbym74jt3pdj5ojwslcol35425aqezle/mty5nju0njcymq?mtc0mzc3mtaznq==-sfmaxz2vulxbnec0xmduxotu4mjg0lwlmehjves5icmlja2vylwlzehbhcmfnb25zb2x1dglvbnmuy29tsf-1mc4w,-1,1
https://www.markpendergrast.com/events,1,1
http://cpaassociatesllc.com/taxfile/2015return/fillingupates/2013gdocs,-1,1
https://www.missourihighschoolfootballhuddle.blogspot.com/,1,1
http://censor.be/wordpress/ca%203.0/613204abad15d77361df54ca2495bfbc,-1,1
http://boliwnx-alwinfs-colivak-boening.pages.dev/help/contact/531417091842144,-1,1
http://alertsafetyacc.duckdns.org/false.html?section_id=1-howtocontactmeta,-1,1
https://www.investing.businessweek.com/research/stocks/news/news.asp?ticker=KFY:US,1,1
http://communitythemusical.com/wells,-1,1
https://www.obits.dignitymemorial.com/dignity-memorial/obituary.aspx?n=Bryan-Kish&lc=1316&pid=144620129&mid=4344015,1,1
http://civilcontractorsinmumbai.in/signonv2screen/bankofamerica/bnd,-1,1
http://cf-ipfs.com/ipfs/qmqpgsoypsvnw8rhgv5yblkbctm6wf5vhyjkqszacd7zeq,-1,-1
http://beginntbrowser.com/fb38816159c1889f72022975959d2925Y2I4Njk3ODhiN2M4MjAyMjNhZDIyMmVjZThlYzU0ZWI=/signin,-1,1
http://editingthatworks.com/pack409204.htm?=packageno307466237,-1,1
http://c00dv1nd.x10.mx/stepc.php,-1,-1
http://buntrianio.sejoranshuiteminbailia.link,-1,1
https://www.conference.hem-of-his-garment-bible-study.org/?paged=2,1,-1
http://139.59.87.100/online/cibc/15a27f9bdba56574777c55c368606559/ebm-mobile-app/verify.html,-1,-1
http://chasesecurityupdates.securityaccountprotect.com.d.wbsprt.com/2020chasefullz/billing.html,-1,1
http://celinnaya.kz/wp-includes/sodium_compat/src/core/vpc2vuaw9/v4/cmd-login=f9484de11eefb2cf6370bd09e8c283a3/bmyc5j3elmmriq2s8c43muyk.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=626d3969623252355147313559334a685a6e527459576c734c6d4e7662513d3d&loginpage=&.rand=13inboxlight.aspx?n=1774256418&fid=4,-1,1
http://disonamos.com/login/ad85621f0f0bf59b675620e89ae2c2df/first-page,-1,-1
http://69.167.151.209/files/d208a6eecd8f0eab0aa804741ddbe4d8/details.php,-1,1
http://delivery.attempt.failure.saliscreation.com/public/dyteohxtz7ipgpbfnefdvoo1yvgegzjs,-1,-1
http://40.85.225.15/finance/tang/antibot.php,-1,1
https://www.names.whitepages.com/paul/duhamel,1,1
http://b9h.be5.myftpupload.com/thomasboa/bankofamerica20181/signin/12498m3b72/index.php?section=signinpage&update=&cookiecheck=yes&destination=signin,-1,1
https://www.slconceptual.wordpress.com/2007/10/10/sculpty-paint-09-interesting-sculpty-maker/,1,1
http://datinghand.com/ip/new1,-1,1
https://www.rogerkenner.ca/Bike/Back_River_Bout_Ile_lite/BackR_Bout_Ile_99b_01.htm,1,-1
https://www.en.wikipedia.org/wiki/John_Mills_(disambiguation),1,1
https://www.singapore.usembassy.gov/,1,-1
https://www.aviswoods.com/,1,-1
https://www.compartiresgratis.net/clasica-and-opera-and-vocal-and-flamenco-and-soul-and-jazz/32856-frank-sinatra-my-way-40-th-anniver-d-edition-2009-jazz.html,1,1
https://www.omahabirths.wordpress.com/k-l/,1,1
http://bb365666.com,-1,-1
https://www.sharingglobalfaith.wordpress.com/contributors/rev-jill-mcallister/,1,1
http://crimson-cell-4c00.9kgfjtlv.workers.dev/13f302a7-0865-4eb3-8e72-03611f880e82,-1,1
https://www.freepages.genealogy.rootsweb.ancestry.com/~parrott/countyrecords/countylunenburgrecords.shtml,1,1
http://adtek.monamedia.net/CerticodePlus/DSP2,-1,1
https://www.genforum.genealogy.com/forrest/all.html,1,1
http://167.71.107.169/directing/www.cibc.mobi/ebm-mobile-anp/accountconfirm.php,-1,1
https://www.quebec.worldweb.com/TravelArticles/GeneralInterest/8-146537.html,1,-1
http://biltech.com.au/office/office-new-RD85-real1-head-footer,-1,-1
https://www.pressrepublican.com/0300_sports/x433571411/Montrealer-leads-Masters-North,1,1
https://www.forums.gametrailers.com/forum/ps3/28,1,1
https://www.precisionguitarkits.com/,1,1
https://www.content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Brad%20Gilbert,1,1
http://charge-ezy.stagingenv.co.nz/mobileapp/32.65.74.01.23.44/app.anz.nz/login.html,-1,1
http://agrisecure.temp.swtest.ru/c-agricole/d6ec2fcaf1c80e4/region.php?particulier=,-1,-1
http://couragez.com/paypal-will-stop-working-on-30th-june-if-you-dont-upgrade-to-tls,-1,1
http://delivery.attempt.intexlinkbd.net/public/ab8st2xlol75xhy9zcag12pyrgtanzc7,-1,1
https://www.google.bg,1,-1
https://www.riograndetribune.org/nucleardisarmament.html,1,-1
http://device.sharedresdocumentsonedrivefiles.com,-1,1
https://www.boardreader.com/thread/Cogeco_2011_New_Channel_Discussion_6ovwX2vsp.html,1,-1
https://www.hospitals.findthebest.com/l/3041/ST-RITA-S-MEDICAL-CENTER,1,-1
https://www.mujeresdelatierra.org/in_the_news,1,-1
https://www.en.goldenmap.com/Patrick_Francis_Healy,1,-1
https://www.genforum.genealogy.com/bernard/messages/194.html,1,1
https://www.music.yahoo.com/lesbians-on-ecstasy/photos/,1,1
http://cahtwgrzas.com/fargofull/home/myaccount/uploads,-1,1
https://www.casscountyorderno11.com/,1,-1
https://www.mvn.com/2011/01/20/brad%E2%80%99s-college-football-season-in-review-conference-usa/,1,-1
http://47.91.149.178/r.php?locale=en_gb,-1,-1
"http://cosmoia.com/wp-content/plugins/content/9b7506703768f6b33df03e1c2273cc28/?user=3dmfecr_@%7b%7bemail%25=&_verify?service=mail&data:text/html;charset=utf-8;base64,pgh0bww%20dqo8c3r5bgu%20igjvzhkgeybtyxjnaw46ida7ig92zxjmbg93oiboawrkzw47ih0gpc9zdhlszt4nciagpglmcmft",-1,1
https://www.bestforfilm.com/film-reviews/thriller/hanna-2/,1,-1
https://www.music.yahoo.com/k-g-b/videos/,1,1
https://www.en.wikipedia.org/wiki/Category:American_practitioners_of_Brazilian_Jiu-Jitsu,1,-1
https://www.forum-network.org/lecture/patrick-bensard-historic-dance-films,1,1
https://www.duncanufletcher.alumz.com/,1,-1
http://cryptocannibal.com/amx/home/email.php,-1,1
http://bodrogiirodahaz.hu/sites/default/files/@@/@@/71dc36afbf48208/account/account.php?cmd=_update&dispatch=f3229547816ddce9b&locale=en_,-1,1
http://13-interac.com/sh/098278s/cibc,-1,1
https://www.collectdolls.about.com/library/price/blgalp80.htm,1,1
https://www.people.famouswhy.com/bud_collins/,1,-1
http://bre.is/hutKxTat,-1,1
https://www.lamar.countystation.com/lamarh.html,1,1
https://www.likethewolveswecrawl.blogspot.com/,1,1
http://authhost29239v408.lowhost.ru/es/escaixa/espace/home,-1,1
https://www.encycl.opentopia.com/G/GL/GLE,1,1
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/de/7a88478d934b84d7a245,-1,1
http://dineanddesign.co.in/common/jss/customer_center/customer-idpp00c339/myaccount/signin/?country.x=&amp;locale.x=en_,-1,-1
http://binainsanitour.co.id/wp-admin/files/secure/update/bankofamerica.com/boa/947b33aa864146d29e055b7e5995b9de/qes.php?cmd=_account-details&session=5e78764504f2a57557462164ba6943cc&dispatch=25086fb26b21f59417e4095d43b2c72ab4ba97aa,-1,-1
https://www.automobile.wikia.com/wiki/Chevrolet_El_Camino,1,1
https://www.philpapers.org/rec/LENMAS,1,1
https://www.music.yahoo.com/we-are-wolves/,1,-1
http://dedcare.com/dee/new/css/sci7eg/dHBhbmljb0BhcHBqZXRjZW50ZXIuY29t,-1,1
https://www.en.wikipedia.org/wiki/Category:Scottish_expatriate_footballers,1,1
https://www.onlineradio2.com/listen/Mike_FM_1051,1,1
http://edevlet-kredi-kart-aidatiadesi.app,-1,1
https://www.dears-fanclub.deviantart.com/,1,1
http://cpanel.nomoresnore.xyz/sos/chase/billing.php?servid=service_login_&_authentication=32f1bcd9b9b9102530a129b0f9852d57f8594f0e,-1,1
http://aqlhxbpsmjotn.wang,-1,1
https://www.granniesclips.com/,1,1
https://www.dir.rbcinvestments.com/charlie.orourke,1,1
